x_value	y_value	centroid	
29.545	0.638580521	1	
33.149	0.6763464	1	
29.605	26.91477818	2	
30.305	0.0	1	
27.905	12.1089949	1	
26.186	0.499534567	1	
30.643	0.0	1	
35.37	0.0	1	
37.001	0.145912226	1	
36.489	0.0	1	
34.352	0.0	1	
33.8	0.123596136	1	
33.187	0.017166132	1	
34.189	0.0	1	
35.005	0.0	1	
34.736	0.0	1	
34.375	0.0	1	
35.131	0.0	1	
34.259	0.0	1	
35.154	0.0	1	
36.51	0.0	1	
37.106	0.0	1	
35.4	1.20849624	1	
26.716	5.575563698	1	
31.985	0.006866453	1	
33.059	0.0	1	
34.916	0.0	1	
34.358	0.0	1	
34.511	0.0	1	
35.44	0.0	1	
34.899	0.0	1	
36.529	0.0	1	
37.13	0.0	1	
38.294	0.0	1	
38.433	0.19912716	1	
37.234	2.60067096	1	
35.047	8.177952276	1	
38.109	0.937272708	1	
39.394	0.024032592	1	
40.255	0.0	1	
41.689	0.0	1	
44.85	0.0	1	
40.555	0.0	1	
39.082	0.0	1	
40.091	0.0	1	
40.88	0.0	1	
43.276	0.0	1	
39.258	0.0	1	
38.456	0.0	1	
38.346	0.0	1	
39.207	0.0	1	
39.82	0.0	1	
40.327	0.0	1	
38.25	0.044631972	1	
39.182	0.0	1	
40.171	0.0	1	
39.966	0.0	1	
40.158	0.0	1	
41.054	0.0	1	
40.171	0.0	1	
41.61	0.0	1	
43.266	0.0	1	
40.724	0.44632008	1	
36.747	0.049781873	1	
35.204	0.0	1	
34.368	0.951004476	1	
36.623	2.586935851	1	
36.832	0.0	1	
37.249	0.0	1	
35.864	1.134681314	1	
37.884	0.0	1	
37.801	0.571632408	1	
39.279	1.92432348	1	
39.024	0.0	1	
41.245	0.0	1	
39.427	0.0	1	
36.894	0.0	1	
36.478	0.0	1	
36.026	0.0	1	
35.414	0.0	1	
36.801	0.0	1	
38.716	0.0	1	
37.479	0.0	1	
38.943	0.0	1	
37.628	0.0	1	
36.738	0.0	1	
38.088	0.181960776	1	
36.364	0.18882761	1	
35.621	0.044631986	1	
37.791	0.0	1	
35.014	0.0	1	
37.537	0.0	1	
37.151	0.0	1	
36.671	0.0	1	
38.047	0.0	1	
39.34	0.0	1	
41.569	0.0	1	
40.867	0.0	1	
39.514	0.0	1	
36.814	0.0	1	
36.585	0.0	1	
37.454	0.006866453	1	
29.015	0.185394362	1	
34.055	1.623916332	1	
35.545	1.126098	1	
30.99	3.330225684	1	
36.389	0.01373292	1	
36.07	0.0	1	
38.063	0.0	1	
36.115	0.0	1	
36.911	0.0	1	
34.469	0.436020062	1	
31.241	6.2845227	1	
31.099	5.345538775	1	
35.582	0.010299672	1	
38.131	1.761246	1	
41.375	0.0	1	
37.992	0.0	1	
37.742	0.0	1	
38.926	0.0	1	
39.448	0.0	1	
40.899	0.0	1	
37.694	0.0	1	
39.254	0.0	1	
36.568	0.075530988	1	
35.673	0.00686646	1	
30.855	2.787779844	1	
36.81	0.0	1	
36.849	0.0	1	
37.769	0.0	1	
34.64	4.490658	1	
31.711	7.71274332	1	
27.915	2.28652902	1	
31.014	0.099563573	1	
31.49	10.06278893	1	
29.011	14.6564496	2	
26.351	4.631424156	1	
31.641	0.0	1	
30.17	0.0	1	
26.999	0.0	1	
32.727	0.0	1	
28.511	0.0	1	
26.821	0.0	1	
29.787	0.0	1	
34.128	0.0	1	
32.392	0.0	1	
33.955	0.0	1	
30.536	0.0	1	
27.782	0.0	1	
28.994	0.0	1	
29.816	0.0	1	
31.595	0.0	1	
31.726	0.0	1	
30.807	18.25447392	2	
29.319	84.35440235	2	
23.458	7.226960256	0	
25.132	0.0	0	
26.502	0.0	1	
27.916	0.0	1	
28.792	0.0	1	
18.976	0.027465818	0	
21.952	0.0	0	
21.007	0.0	0	
23.77	19.16771112	2	
15.705	0.55274976	0	
10.808	0.09956363	0	
16.844	0.0	0	
22.262	0.0	0	
24.362	0.0	0	
22.292	0.0	0	
26.464	0.0	1	
24.343	0.0	0	
25.723	0.0	1	
27.921	0.0	1	
27.572	0.0	1	
29.307	0.0	1	
30.309	0.12702942	1	
28.973	0.0	1	
26.892	0.0	1	
26.234	0.0	1	
25.712	0.04463195	1	
22.038	4.395391812	0	
15.362	1.817894772	0	
10.577	30.25704136	2	
6.887	2.243614716	0	
11.41	0.190544148	0	
11.551	0.0	0	
13.647	0.0	0	
15.725	0.0	0	
9.128	18.50681635	2	
14.77	1.338099782	0	
13.516	0.504684821	0	
10.878	6.033896489	0	
3.369	24.78276313	2	
10.522	0.83599092	0	
12.026	0.0686646	0	
18.464	0.0	0	
21.681	0.0	0	
20.368	0.389671553	0	
18.058	1.642799664	0	
9.816	0.322723282	0	
16.712	0.693511913	0	
24.03	0.42572052	0	
21.187	0.430870514	0	
24.474	0.341605814	0	
23.431	16.66145442	2	
11.835	2.7465804	0	
11.185	0.0	0	
14.268	0.0	0	
17.428	0.0	0	
18.342	0.0	0	
17.975	0.027465826	0	
16.825	0.485801597	0	
19.651	0.003433226	0	
17.727	0.0	0	
22.546	0.003433226	0	
15.97	3.30963138	0	
1.127	0.82397489	0	
4.511	0.0	0	
3.99	0.350189438	0	
17.343	6.14375802	0	
16.904	0.41542069	0	
5.404	0.0	0	
12.946	0.0	0	
12.449	0.0	0	
15.334	0.0	0	
17.379	0.02059938	0	
14.482	0.030899066	0	
19.043	0.0	0	
17.957	0.0	0	
14.326	0.0	0	
19.186	0.0	0	
12.646	0.0	0	
9.993	0.0	0	
11.469	13.24711429	0	
11.776	0.00686646	0	
14.322	2.688214586	0	
14.782	6.583213584	0	
11.586	0.0	0	
10.217	0.037765483	0	
7.985	0.0	0	
13.332	0.0	0	
15.453	0.0	0	
13.129	0.0	0	
10.01	0.0	0	
6.65	0.0	0	
12.447	0.0	0	
6.008	21.6053051	2	
5.212	10.61897749	0	
7.352	0.50811763	0	
9.346	0.302124204	0	
15.77	0.0	0	
19.074	0.0	0	
20.662	0.0	0	
16.84	0.858306866	0	
18.744	0.0343323	0	
19.077	0.0	0	
18.095	0.47378574	0	
15.184	0.202560617	0	
14.584	1.75094357	0	
16.552	16.98415751	2	
6.534	0.0	0	
11.423	0.0	0	
9.707	4.07180682	0	
4.065	30.2261364	2	
8.24	4.700090844	0	
11.136	1.383590844	0	
10.403	0.199127189	0	
15.532	6.507681854	0	
21.567	13.45996719	2	
3.283	0.0	0	
6.591	0.0	0	
10.337	0.0	0	
11.922	0.0	0	
17.613	0.013732898	0	
13.163	0.779342472	0	
18.311	0.401687784	0	
14.437	1.3046265	0	
23.981	1.031684652	0	
24.695	0.013732906	0	
23.702	0.19912734	0	
16.934	0.254058746	0	
21.389	0.0	0	
24.916	0.0	0	
20.717	0.0	0	
22.402	0.0	0	
25.216	0.0	1	
24.411	0.243758945	0	
17.149	6.488805348	0	
19.333	0.27980802	0	
